BANCO;MONTO;PERFIL;FECHA
DE AMÉRICA CENTRAL, S. A.;3046844;CAPITAL;2021/02/28
AGROMERCANTIL DE GUATEMALA, S. A.;2653795;CAPITAL;2021/02/28
G&T CONTINENTAL, S. A.;5189605;CAPITAL;2021/02/28
AZTECA DE GUATEMALA, S. A.;589666;CAPITAL;2021/02/28
INV, S. A.;119376;CAPITAL;2021/02/28
CREDICORP, S. A.;51169;CAPITAL;2021/02/28
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5356311;ACTIVO;2021/03/31
INMOBILIARIO, S. A.;1972203;ACTIVO;2021/03/31
DE LOS TRABAJADORES;28416638;ACTIVO;2021/03/31
INDUSTRIAL, S. A.;111009867;ACTIVO;2021/03/31
DE DESARROLLO RURAL, S. A.;86113731;ACTIVO;2021/03/31
INTERNACIONAL, S. A.;11173738;ACTIVO;2021/03/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4130179;ACTIVO;2021/03/31
VIVIBANCO, S. A.;765157;ACTIVO;2021/03/31
FICOHSA GUATEMALA, S. A.;3200302;ACTIVO;2021/03/31
PROMERICA, S. A.;17813585;ACTIVO;2021/03/31
DE ANTIGUA, S. A.;1496359;ACTIVO;2021/03/31
DE AMÉRICA CENTRAL, S. A.;35026529;ACTIVO;2021/03/31
AGROMERCANTIL DE GUATEMALA, S. A.;31679116;ACTIVO;2021/03/31
G&T CONTINENTAL, S. A.;56173977;ACTIVO;2021/03/31
AZTECA DE GUATEMALA, S. A.;1942997;ACTIVO;2021/03/31
INV, S. A.;930229;ACTIVO;2021/03/31
CREDICORP, S. A.;463326;ACTIVO;2021/03/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5087142;PASIVO;2021/03/31
INMOBILIARIO, S. A.;1636625;PASIVO;2021/03/31
DE LOS TRABAJADORES;24512437;PASIVO;2021/03/31
INDUSTRIAL, S. A.;101506303;PASIVO;2021/03/31
DE DESARROLLO RURAL, S. A.;78308326;PASIVO;2021/03/31
INTERNACIONAL, S. A.;10105272;PASIVO;2021/03/31
CITIBANK, N.A., SUCURSAL GUATEMALA;3771462;PASIVO;2021/03/31
VIVIBANCO, S. A.;612983;PASIVO;2021/03/31
FICOHSA GUATEMALA, S. A.;2874827;PASIVO;2021/03/31
PROMERICA, S. A.;16038592;PASIVO;2021/03/31
DE ANTIGUA, S. A.;1304415;PASIVO;2021/03/31
DE AMÉRICA CENTRAL, S. A.;31934202;PASIVO;2021/03/31
AGROMERCANTIL DE GUATEMALA, S. A.;28902306;PASIVO;2021/03/31
G&T CONTINENTAL, S. A.;51111840;PASIVO;2021/03/31
AZTECA DE GUATEMALA, S. A.;1339062;PASIVO;2021/03/31
INV, S. A.;810130;PASIVO;2021/03/31
CREDICORP, S. A.;410780;PASIVO;2021/03/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;269168;CAPITAL;2021/03/31
INMOBILIARIO, S. A.;335578;CAPITAL;2021/03/31
DE LOS TRABAJADORES;3904201;CAPITAL;2021/03/31
INDUSTRIAL, S. A.;9503565;CAPITAL;2021/03/31
DE DESARROLLO RURAL, S. A.;7805406;CAPITAL;2021/03/31
INTERNACIONAL, S. A.;1068466;CAPITAL;2021/03/31
CITIBANK, N.A., SUCURSAL GUATEMALA;358718;CAPITAL;2021/03/31
VIVIBANCO, S. A.;152174;CAPITAL;2021/03/31
FICOHSA GUATEMALA, S. A.;325475;CAPITAL;2021/03/31
PROMERICA, S. A.;1774994;CAPITAL;2021/03/31
DE ANTIGUA, S. A.;191944;CAPITAL;2021/03/31
DE AMÉRICA CENTRAL, S. A.;3092326;CAPITAL;2021/03/31
AGROMERCANTIL DE GUATEMALA, S. A.;2776811;CAPITAL;2021/03/31
G&T CONTINENTAL, S. A.;5062137;CAPITAL;2021/03/31
AZTECA DE GUATEMALA, S. A.;603935;CAPITAL;2021/03/31
INV, S. A.;120099;CAPITAL;2021/03/31
CREDICORP, S. A.;52546;CAPITAL;2021/03/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5534610;ACTIVO;2021/04/30
INMOBILIARIO, S. A.;2037961;ACTIVO;2021/04/30
